Description,Supplier,URL,Entity,Expense Type,Transaction Number,Amount,Expense Area,Date,Departmental Family
Annual support for the Utilities billing system,Insight Direct Ltd,http://www.cabinetoffice.gov.uk/sites/default/files/resources/CO-Complete-December-2011.csv,Government Procurement Service,IT Maint & Repairs,PINVP2P 368,"38,204.07",Governance & Assurance,01/12/2011,Cabinet Office
Cabling,Specialist Computer Centres plc,http://www.cabinetoffice.gov.uk/sites/default/files/resources/CO-Complete-December-2011.csv,Government Procurement Service,IT Maint & Repairs,PINVP2P 374,"37,357.04",IT,01/12/2011,Cabinet Office
Interim IT specialist,CAPITA RESOURCING LTD,http://www.cabinetoffice.gov.uk/sites/default/files/resources/CO-Complete-December-2011.csv,Cabinet Office,Agency and Temporary Staff,3000021054,"89,125.92",GOVERNMENT DIGITAL SERVICE,02/12/2011,Cabinet Office
Interim IT specialist,CAPITA RESOURCING LTD,http://www.cabinetoffice.gov.uk/sites/default/files/resources/CO-Complete-December-2011.csv,Cabinet Office,Agency and Temporary Staff,3000021053,"42,000.00",GOVERNMENT DIGITAL SERVICE,02/12/2011,Cabinet Office
Provision of legal services,FIELD FISHER WATERHOUSE,http://www.cabinetoffice.gov.uk/sites/default/files/resources/CO-Complete-December-2011.csv,Cabinet Office,Consultancy,1000460,"91,420.00",SCHEME MANAGEMENT EXECUTIVE,02/12/2011,Cabinet Office
Innovation in Giving Fund project Grant 2011/12,NESTA,http://www.cabinetoffice.gov.uk/sites/default/files/resources/CO-Complete-December-2011.csv,Cabinet Office,Resource Grants to NDPB's,3000021084,"1,300,000.00",OFFICE FOR CIVIL SOCIETY,05/12/2011,Cabinet Office
National Citizen Service project grant,SAFE IN TEES VALLEY,http://www.cabinetoffice.gov.uk/sites/default/files/resources/CO-Complete-December-2011.csv,Cabinet Office,Resource Grants to Private Sector,3000021086,"219,560.00",OFFICE FOR CIVIL SOCIETY,05/12/2011,Cabinet Office
Evaluation of the National Citizen Service programme.,NATIONAL CENTRE FOR SOCIAL RESEARCH,http://www.cabinetoffice.gov.uk/sites/default/files/resources/CO-Complete-December-2011.csv,Cabinet Office,Research and Development (VAT Recoverable),3000021083,"174,196.54",OFFICE FOR CIVIL SOCIETY,05/12/2011,Cabinet Office
National Citizen Service project grant,THE LINCOLNSHIRE & RUTLAND EBP,http://www.cabinetoffice.gov.uk/sites/default/files/resources/CO-Complete-December-2011.csv,Cabinet Office,Resource Grants to Private Sector,3000021089,"101,864.00",OFFICE FOR CIVIL SOCIETY,05/12/2011,Cabinet Office
National Citizen Service project grant,JEWISH LADS & GIRLS BRIGADE,http://www.cabinetoffice.gov.uk/sites/default/files/resources/CO-Complete-December-2011.csv,Cabinet Office,Resource Grants to Private Sector,3000021082,"44,900.00",OFFICE FOR CIVIL SOCIETY,05/12/2011,Cabinet Office
November payment for hosting and maintenance of the Directgov mobile service,CIMEX MEDIA LTD,http://www.cabinetoffice.gov.uk/sites/default/files/resources/CO-Complete-December-2011.csv,Cabinet Office,IT Costs,3000021104,"38,043.86",GOVERNMENT DIGITAL SERVICE,06/12/2011,Cabinet Office
Interim IT specialist,RETHINK RECRUITMENT SOLUTIONS LTD,http://www.cabinetoffice.gov.uk/sites/default/files/resources/CO-Complete-December-2011.csv,Cabinet Office,Agency and Temporary Staff,3000021116,"26,198.04",GOVERNMENT DIGITAL SERVICE,06/12/2011,Cabinet Office
"Venue hire and overnight accommodation costs for the statutory holding of public hearings across England, in relation to the review of Parliamentary constituency boundaries by the Boundary Commission for England",EXPOTEL,http://www.cabinetoffice.gov.uk/sites/default/files/resources/CO-Complete-December-2011.csv,Cabinet Office,"Travel, Subsistence and Hospitality",3000021107,"28,573.02",POLITICAL AND CONSTITUTIONAL REFORM,06/12/2011,Cabinet Office
Government managed telecoms contract,Global Crossing,http://www.cabinetoffice.gov.uk/sites/default/files/resources/CO-Complete-December-2011.csv,Government Procurement Service,Call Charges Std,PINMTS 21059,"89,311.43",Network Services,06/12/2011,Cabinet Office
Government managed telecoms contract,Global Crossing,http://www.cabinetoffice.gov.uk/sites/default/files/resources/CO-Complete-December-2011.csv,Government Procurement Service,Call Charges Std,PINMTS 21125,"38,450.15",Network Services,06/12/2011,Cabinet Office
Transition funding for a youth volunteering web site.,YOUTHNET UK,http://www.cabinetoffice.gov.uk/sites/default/files/resources/CO-Complete-December-2011.csv,Cabinet Office,Resource Grants to Private Sector,3000021155,"175,000.00",OFFICE FOR CIVIL SOCIETY,07/12/2011,Cabinet Office
Management fee for the delivery of the Community Assets Fund,BIG LOTTERY FUND,http://www.cabinetoffice.gov.uk/sites/default/files/resources/CO-Complete-December-2011.csv,Cabinet Office,Consultancy,3000021134,"58,997.00",OFFICE FOR CIVIL SOCIETY,07/12/2011,Cabinet Office
Refurbishment of 70 Whitehall,ECOVERT FM LTD,http://www.cabinetoffice.gov.uk/sites/default/files/resources/CO-Complete-December-2011.csv,Cabinet Office,Assets Under Construction,3000021175,"60,000.00",ESTATE MANAGEMENT,08/12/2011,Cabinet Office
National Citizen Service project grant,YOUR CONSORTIUM LTD,http://www.cabinetoffice.gov.uk/sites/default/files/resources/CO-Complete-December-2011.csv,Cabinet Office,Resource Grants to Private Sector,3000021195,"35,012.00",OFFICE FOR CIVIL SOCIETY,08/12/2011,Cabinet Office
Government managed telecoms contract,Global Crossing,http://www.cabinetoffice.gov.uk/sites/default/files/resources/CO-Complete-December-2011.csv,Government Procurement Service,Moves & Changes,PINMTS 21197,"47,500.00",Network Services,08/12/2011,Cabinet Office
Refurbishment of 70 Whitehall,ECOVERT FM LTD,http://www.cabinetoffice.gov.uk/sites/default/files/resources/CO-Complete-December-2011.csv,Cabinet Office,Assets Under Construction,3000021219,"81,010.80",ESTATE MANAGEMENT,09/12/2011,Cabinet Office
Facilities Management Services,ECOVERT FM LTD,http://www.cabinetoffice.gov.uk/sites/default/files/resources/CO-Complete-December-2011.csv,Cabinet Office,Accommodation and Utilities,3000021219,"54,848.59",ESTATE MANAGEMENT,09/12/2011,Cabinet Office
High Integrity Telecoms System project costs,BT GLOBAL SERVICES.,http://www.cabinetoffice.gov.uk/sites/default/files/resources/CO-Complete-December-2011.csv,Cabinet Office,Accommodation and Utilities,3000021210,"100,000.00",INTELLIGENCE SECURITY AND RESILIENCE,09/12/2011,Cabinet Office
Fast Stream Recruitment,PARITY SOLUTIONS LTD,http://www.cabinetoffice.gov.uk/sites/default/files/resources/CO-Complete-December-2011.csv,Cabinet Office,Other Staff Related Costs,3000021269,"26,991.00",ERG STRATEGY AND MANAGEMENT INFORMATION,12/12/2011,Cabinet Office
Facilities Management Services,ECOVERT FM LTD,http://www.cabinetoffice.gov.uk/sites/default/files/resources/CO-Complete-December-2011.csv,Cabinet Office,Accommodation and Utilities,3000021255,"81,164.76",ESTATE MANAGEMENT,12/12/2011,Cabinet Office
National Citizen Service project grant,BOLTON LADS & GIRLS CLUB,http://www.cabinetoffice.gov.uk/sites/default/files/resources/CO-Complete-December-2011.csv,Cabinet Office,Resource Grants to Private Sector,3000021294,"92,083.00",OFFICE FOR CIVIL SOCIETY,13/12/2011,Cabinet Office
Grant to Compact Voice,NCVO,http://www.cabinetoffice.gov.uk/sites/default/files/resources/CO-Complete-December-2011.csv,Cabinet Office,Resource Grants to Private Sector,3000021303,"87,500.00",OFFICE FOR CIVIL SOCIETY,13/12/2011,Cabinet Office
Management Fee for delivery of Community First,COMMUNITY DEVELOPMENT FOUNDATION,http://www.cabinetoffice.gov.uk/sites/default/files/resources/CO-Complete-December-2011.csv,Cabinet Office,GRANT FUND MANAGEMENT SERVICES,3000021296,"80,250.00",OFFICE FOR CIVIL SOCIETY,13/12/2011,Cabinet Office
Building Restoration of 10 Downing Street,ECOVERT FM LTD,http://www.cabinetoffice.gov.uk/sites/default/files/resources/CO-Complete-December-2011.csv,Cabinet Office,Accommodation and Utilities,3000021299,"28,171.30",PRIME MINISTERS OFFICE,13/12/2011,Cabinet Office
Private Finance Initiative payment for student & office accommodation,De Vere Venues Ltd,http://www.cabinetoffice.gov.uk/sites/default/files/resources/CO-Complete-December-2011.csv,National School of Government,De Vere PFI contract fee,64DEVE009102719895208/12/2011,"137,205.66",Corporate Services & Operation,13/12/2011,National School of Government
Whitehall heating systems management,Cofely,http://www.cabinetoffice.gov.uk/sites/default/files/resources/CO-Complete-December-2011.csv,Government Procurement Service,WDHS Maint & Rep,PCROHD 963,"-30,828.00",WDHS,13/12/2011,Cabinet Office
Rent for Accommodation,KING STURGE LLP,http://www.cabinetoffice.gov.uk/sites/default/files/resources/CO-Complete-December-2011.csv,Cabinet Office,Land and Buildings,3000021326,"303,600.00",ESTATE MANAGEMENT,14/12/2011,Cabinet Office
National Citizen Service project grant,NATIONAL YOUTH AGENCY,http://www.cabinetoffice.gov.uk/sites/default/files/resources/CO-Complete-December-2011.csv,Cabinet Office,Resource Grants to Private Sector,3000021331,"180,780.00",OFFICE FOR CIVIL SOCIETY,14/12/2011,Cabinet Office
National Citizen Service project grant,YOUNG LIVES,http://www.cabinetoffice.gov.uk/sites/default/files/resources/CO-Complete-December-2011.csv,Cabinet Office,Resource Grants to Private Sector,3000021336,"35,134.00",OFFICE FOR CIVIL SOCIETY,14/12/2011,Cabinet Office
Legal Costs to support MyCSP mutualisation project.  ,HERBERT SMITH LLP,http://www.cabinetoffice.gov.uk/sites/default/files/resources/CO-Complete-December-2011.csv,Cabinet Office,Consultancy,3000021357,"358,579.20",CIVIL SERVICE PENSIONS,15/12/2011,Cabinet Office
Bi-annual event for the top 200 Senior Civil Servants from across Government,INSTITUTE FOR GOVERNMENT,http://www.cabinetoffice.gov.uk/sites/default/files/resources/CO-Complete-December-2011.csv,Cabinet Office,"Travel, Subsistence and Hospitality",3000021361,"29,100.00",ERG STRATEGY AND MANAGEMENT INFORMATION,15/12/2011,Cabinet Office
Reprographic services,RICOH UK LTD,http://www.cabinetoffice.gov.uk/sites/default/files/resources/CO-Complete-December-2011.csv,Cabinet Office,Supplies and Services,3000021372,"43,468.36",ESTATE MANAGEMENT,15/12/2011,Cabinet Office
FCO Services,FCO SERVICES,http://www.cabinetoffice.gov.uk/sites/default/files/resources/CO-Complete-December-2011.csv,Cabinet Office,Other Staff Related Costs,3000021352,"45,132.00",FINANCIAL MANAGEMENT,15/12/2011,Cabinet Office
"Support for Public Service Network including development of technical standards, project management for the delivery of key services, stakeholder engagement and commercial advice.",CAPITA RESOURCING LTD,http://www.cabinetoffice.gov.uk/sites/default/files/resources/CO-Complete-December-2011.csv,Cabinet Office,Agency and Temporary Staff,3000021346,"51,810.61",GOVERNMENT CIO,15/12/2011,Cabinet Office
Delivery of the Civil Service Commissions review of departments and agencys recruitment policies and procedures,DLA PIPER UK,http://www.cabinetoffice.gov.uk/sites/default/files/resources/CO-Complete-December-2011.csv,Cabinet Office,Consultancy,3000021350,"45,000.00",INDEPENDENT OFFICES,15/12/2011,Cabinet Office
Match funding for Local Givings fundraising over the Christmas period to leverage additional public donations,COMMUNITY FOUNDATION NETWORK,http://www.cabinetoffice.gov.uk/sites/default/files/resources/CO-Complete-December-2011.csv,Cabinet Office,Resource Grants to Private Sector,3000021348,"125,000.00",OFFICE FOR CIVIL SOCIETY,15/12/2011,Cabinet Office
"Events management support for the London stage of the European Year of Volunteering Tour Event, 27 October  3 November 2011",NATIONAL SCHOOL OF GOVERNMENT,http://www.cabinetoffice.gov.uk/sites/default/files/resources/CO-Complete-December-2011.csv,Cabinet Office,"Travel, Subsistence and Hospitality",3000021368,"25,353.24",OFFICE FOR CIVIL SOCIETY,15/12/2011,Cabinet Office
Maintenance of physical and electronic security equipment,SECURITY SERVICES GROUP,http://www.cabinetoffice.gov.uk/sites/default/files/resources/CO-Complete-December-2011.csv,Cabinet Office,Accommodation and Utilities,3000021374,"119,130.60",PRIME MINISTERS OFFICE,15/12/2011,Cabinet Office
Rent for accommodation,Cabinet Office Votes,http://www.cabinetoffice.gov.uk/sites/default/files/resources/CO-Complete-December-2011.csv,Government Procurement Service,MOTO Charges RC,PINDOH 33782,"110,363.22",Estates Management,15/12/2011,Cabinet Office
Facilities Management Services,MITIE MANAGED SERVICES LTD,http://www.cabinetoffice.gov.uk/sites/default/files/resources/CO-Complete-December-2011.csv,Cabinet Office,Accommodation and Utilities,3000021428,"48,911.10",ESTATE MANAGEMENT,16/12/2011,Cabinet Office
National Citizen Service project grant,SPORTTRAIN WALES LTD,http://www.cabinetoffice.gov.uk/sites/default/files/resources/CO-Complete-December-2011.csv,Cabinet Office,Resource Grants to Private Sector,3000021439,"121,225.00",OFFICE FOR CIVIL SOCIETY,16/12/2011,Cabinet Office
Quarterly advance expense payments to Her Majesty's Lord Lieutenants ,GREATER LONDON LIEUTENANCY,http://www.cabinetoffice.gov.uk/sites/default/files/resources/CO-Complete-December-2011.csv,Cabinet Office,Lord Lieutenants Expenses,3000021418,"42,602.00",POLITICAL AND CONSTITUTIONAL REFORM,16/12/2011,Cabinet Office
Quarterly advance expense payments to Her Majesty's Lord Lieutenants ,WEST MIDLANDS LIEUTENANCY,http://www.cabinetoffice.gov.uk/sites/default/files/resources/CO-Complete-December-2011.csv,Cabinet Office,Lord Lieutenants Expenses,3000021443,"36,307.50",POLITICAL AND CONSTITUTIONAL REFORM,16/12/2011,Cabinet Office
Quarterly advance expense payments to Her Majesty's Lord Lieutenants ,GREATER MANCHESTER LIEUTENANCY,http://www.cabinetoffice.gov.uk/sites/default/files/resources/CO-Complete-December-2011.csv,Cabinet Office,Lord Lieutenants Expenses,3000021419,"33,133.50",POLITICAL AND CONSTITUTIONAL REFORM,16/12/2011,Cabinet Office
Quarterly advance expense payments to Her Majesty's Lord Lieutenants ,MERSEYSIDE LIEUTENANCY,http://www.cabinetoffice.gov.uk/sites/default/files/resources/CO-Complete-December-2011.csv,Cabinet Office,Lord Lieutenants Expenses,3000021426,"30,246.00",POLITICAL AND CONSTITUTIONAL REFORM,16/12/2011,Cabinet Office
Quarterly advance expense payments to Her Majesty's Lord Lieutenants ,LORD LIEUTENANT OF WEST YORKSHIRE,http://www.cabinetoffice.gov.uk/sites/default/files/resources/CO-Complete-December-2011.csv,Cabinet Office,Lord Lieutenants Expenses,3000021425,"28,582.50",POLITICAL AND CONSTITUTIONAL REFORM,16/12/2011,Cabinet Office
Interim IT specialists,RETHINK RECRUITMENT SOLUTIONS LTD,http://www.cabinetoffice.gov.uk/sites/default/files/resources/CO-Complete-December-2011.csv,Cabinet Office,Agency and Temporary Staff,3000021480,"35,003.25",GOVERNMENT DIGITAL SERVICE,19/12/2011,Cabinet Office
"Match funding for Streetsmarts Christmas fundraising campaign through restaurants, to encourage more restaurants outside of London to participate. ",STREETSMART,http://www.cabinetoffice.gov.uk/sites/default/files/resources/CO-Complete-December-2011.csv,Cabinet Office,Resource Grants to Private Sector,3000021485,"55,000.00",OFFICE FOR CIVIL SOCIETY,19/12/2011,Cabinet Office
Government managed telecoms contract,Global Crossing,http://www.cabinetoffice.gov.uk/sites/default/files/resources/CO-Complete-December-2011.csv,Government Procurement Service,GTN,PINMTS 21199,"100,867.80",Network Services,19/12/2011,Cabinet Office
Facilities Management Services,ECOVERT FM LTD,http://www.cabinetoffice.gov.uk/sites/default/files/resources/CO-Complete-December-2011.csv,Cabinet Office,Accommodation and Utilities,3000021500,"57,317.68",ESTATE MANAGEMENT,20/12/2011,Cabinet Office
High Integrity Telecoms System project costs,BT GLOBAL SERVICES.,http://www.cabinetoffice.gov.uk/sites/default/files/resources/CO-Complete-December-2011.csv,Cabinet Office,IT Costs,3000021497,"152,123.50",INTELLIGENCE SECURITY AND RESILIENCE,20/12/2011,Cabinet Office
National Study into Completeness and Accuracy of the Electoral Registers,ELECTORAL COMMISSION,http://www.cabinetoffice.gov.uk/sites/default/files/resources/CO-Complete-December-2011.csv,Cabinet Office,Research and Development (VAT Recoverable),3000021501,"220,200.00",POLITICAL AND CONSTITUTIONAL REFORM,20/12/2011,Cabinet Office
Pan Government use of Duns and enhanced data analysis ,Dun & Bradstreet Ltd,http://www.cabinetoffice.gov.uk/sites/default/files/resources/CO-Complete-December-2011.csv,Government Procurement Service,Information Services,PINVP2P 437,"600,000.00",Enablement Projects,20/12/2011,Cabinet Office
Government managed telecoms contract,Siemens,http://www.cabinetoffice.gov.uk/sites/default/files/resources/CO-Complete-December-2011.csv,Government Procurement Service,Moves & Changes,PINDOH 33796,"267,935.00",Network Services,21/12/2011,Cabinet Office
Government managed telecoms contract,Siemens,http://www.cabinetoffice.gov.uk/sites/default/files/resources/CO-Complete-December-2011.csv,Government Procurement Service,Moves & Changes,PINDOH 33797,"170,960.00",Network Services,21/12/2011,Cabinet Office
Government managed telecoms contract,Siemens,http://www.cabinetoffice.gov.uk/sites/default/files/resources/CO-Complete-December-2011.csv,Government Procurement Service,Moves & Changes,PINDOH 33798,"178,430.00",Network Services,21/12/2011,Cabinet Office
Government managed telecoms contract,Siemens,http://www.cabinetoffice.gov.uk/sites/default/files/resources/CO-Complete-December-2011.csv,Government Procurement Service,Moves & Changes,PINDOH 33799,"110,210.00",Network Services,21/12/2011,Cabinet Office
Government managed telecoms contract,Siemens,http://www.cabinetoffice.gov.uk/sites/default/files/resources/CO-Complete-December-2011.csv,Government Procurement Service,Moves & Changes,PINDOH 33802,"25,300.00",Network Services,21/12/2011,Cabinet Office
Government managed telecoms contract,Siemens,http://www.cabinetoffice.gov.uk/sites/default/files/resources/CO-Complete-December-2011.csv,Government Procurement Service,Moves & Changes,PINDOH 33807,"31,980.00",Network Services,21/12/2011,Cabinet Office
Government managed telecoms contract,Siemens,http://www.cabinetoffice.gov.uk/sites/default/files/resources/CO-Complete-December-2011.csv,Government Procurement Service,Moves & Changes,PINDOH 33812,"31,235.00",Network Services,21/12/2011,Cabinet Office
Government managed telecoms contract,Siemens,http://www.cabinetoffice.gov.uk/sites/default/files/resources/CO-Complete-December-2011.csv,Government Procurement Service,Moves & Changes,PINDOH 33817,"29,200.00",Network Services,21/12/2011,Cabinet Office
Government managed telecoms contract,Siemens,http://www.cabinetoffice.gov.uk/sites/default/files/resources/CO-Complete-December-2011.csv,Government Procurement Service,Moves & Changes,PINDOH 33818,"27,685.00",Network Services,21/12/2011,Cabinet Office
Government managed telecoms contract,Siemens,http://www.cabinetoffice.gov.uk/sites/default/files/resources/CO-Complete-December-2011.csv,Government Procurement Service,Moves & Changes,PINDOH 33820,"85,805.00",Network Services,21/12/2011,Cabinet Office
Government managed telecoms contract,Siemens,http://www.cabinetoffice.gov.uk/sites/default/files/resources/CO-Complete-December-2011.csv,Government Procurement Service,Moves & Changes,PINDOH 33821,"73,960.00",Network Services,21/12/2011,Cabinet Office
Government managed telecoms contract,Siemens,http://www.cabinetoffice.gov.uk/sites/default/files/resources/CO-Complete-December-2011.csv,Government Procurement Service,Moves & Changes,PINDOH 33824,"39,235.00",Network Services,21/12/2011,Cabinet Office
Government managed telecoms contract,Siemens,http://www.cabinetoffice.gov.uk/sites/default/files/resources/CO-Complete-December-2011.csv,Government Procurement Service,Moves & Changes,PINDOH 33825,"45,945.00",Network Services,21/12/2011,Cabinet Office
Government managed telecoms contract,Siemens,http://www.cabinetoffice.gov.uk/sites/default/files/resources/CO-Complete-December-2011.csv,Government Procurement Service,Moves & Changes,PINDOH 33826,"99,105.00",Network Services,21/12/2011,Cabinet Office
Government managed telecoms contract,Siemens,http://www.cabinetoffice.gov.uk/sites/default/files/resources/CO-Complete-December-2011.csv,Government Procurement Service,Moves & Changes,PINDOH 33831,"34,450.00",Network Services,21/12/2011,Cabinet Office
Fast Stream Recruitment,PARITY SOLUTIONS LTD,http://www.cabinetoffice.gov.uk/sites/default/files/resources/CO-Complete-December-2011.csv,Cabinet Office,Other Staff Related Costs,3000021597,"80,951.62",ERG STRATEGY AND MANAGEMENT INFORMATION,22/12/2011,Cabinet Office
Dilapidations costs for lease break,NB REAL ESTATE,http://www.cabinetoffice.gov.uk/sites/default/files/resources/CO-Complete-December-2011.csv,Cabinet Office,Provisions provided for in year,3000021595,"255,000.00",ESTATE MANAGEMENT,22/12/2011,Cabinet Office
Management fee for the Social Action Fund ,SOCIAL INVESTMENT BUSINESS,http://www.cabinetoffice.gov.uk/sites/default/files/resources/CO-Complete-December-2011.csv,Cabinet Office,GRANT FUND MANAGEMENT SERVICES,3000021600,"193,184.00",OFFICE FOR CIVIL SOCIETY,22/12/2011,Cabinet Office
Facilities Management Services,ECOVERT FM LTD,http://www.cabinetoffice.gov.uk/sites/default/files/resources/CO-Complete-December-2011.csv,Cabinet Office,Accommodation and Utilities,3000021586,"35,774.72",PRIME MINISTERS OFFICE,22/12/2011,Cabinet Office
Whitehall heating systems management,Cofely,http://www.cabinetoffice.gov.uk/sites/default/files/resources/CO-Complete-December-2011.csv,Government Procurement Service,WSDS Maint & Rep,PINDOH 33658,"39,005.82",WSDS,22/12/2011,Cabinet Office
Whitehall heating systems management,Cofely,http://www.cabinetoffice.gov.uk/sites/default/files/resources/CO-Complete-December-2011.csv,Government Procurement Service,WDHS Maint & Rep,PINDOH 33659,"62,514.50",WDHS,22/12/2011,Cabinet Office
Whitehall heating systems management,Cofely,http://www.cabinetoffice.gov.uk/sites/default/files/resources/CO-Complete-December-2011.csv,Government Procurement Service,WDHS Cost of Heat Supplied,PINDOH 33763,"53,257.18",WDHS,22/12/2011,Cabinet Office
Whitehall heating systems management,Cofely,http://www.cabinetoffice.gov.uk/sites/default/files/resources/CO-Complete-December-2011.csv,Government Procurement Service,WSDS Maint & Rep,PINDOH 33768,"39,005.82",WSDS,22/12/2011,Cabinet Office
Whitehall heating systems management,Cofely,http://www.cabinetoffice.gov.uk/sites/default/files/resources/CO-Complete-December-2011.csv,Government Procurement Service,WDHS Maint & Rep,PINDOH 33769,"62,514.50",WDHS,22/12/2011,Cabinet Office
Whitehall heating systems management,Cofely,http://www.cabinetoffice.gov.uk/sites/default/files/resources/CO-Complete-December-2011.csv,Government Procurement Service,WDHS Maint & Rep,PINDOH 33852,"41,782.02",WDHS,22/12/2011,Cabinet Office
TSOL - 2011/12 Fees and Disbursements.,TREASURY SOLICITOR TSOL,http://www.cabinetoffice.gov.uk/sites/default/files/resources/CO-Complete-December-2011.csv,Cabinet Office,Supplies and Services,3000021665,"99,349.19",CENTRAL BUDGETS,23/12/2011,Cabinet Office
Grants to support organisations from the voluntary and community sector promoting social action.  ,SOCIAL INVESTMENT BUSINESS,http://www.cabinetoffice.gov.uk/sites/default/files/resources/CO-Complete-December-2011.csv,Cabinet Office,Resource Grants to Private Sector,1000471,"3,799,417.00",OFFICE FOR CIVIL SOCIETY,23/12/2011,Cabinet Office
Building Restoration of 10 Downing Street,ECOVERT FM LTD,http://www.cabinetoffice.gov.uk/sites/default/files/resources/CO-Complete-December-2011.csv,Cabinet Office,Freehold Non Residential Buildings,3000021637,"62,724.12",PRIME MINISTERS OFFICE,23/12/2011,Cabinet Office
"Support for Public Service Network including development of technical standards, project management for the delivery of key services, stakeholder engagement and commercial advice.",CAPITA RESOURCING LTD,http://www.cabinetoffice.gov.uk/sites/default/files/resources/CO-Complete-December-2011.csv,Cabinet Office,Agency and Temporary Staff,3000021686,"28,566.00",GOVERNMENT CIO,28/12/2011,Cabinet Office
Implementation services to further develop the Directgov site.  ,STERIA LTD,http://www.cabinetoffice.gov.uk/sites/default/files/resources/CO-Complete-December-2011.csv,Cabinet Office,IT Costs,3000021698,"28,915.41",GOVERNMENT DIGITAL SERVICE,28/12/2011,Cabinet Office
Monitoring services provided by the BBC,BBC MONITORING,http://www.cabinetoffice.gov.uk/sites/default/files/resources/CO-Complete-December-2011.csv,Cabinet Office,Supplies and Services,3000021684,"1,808,333.33",INTELLIGENCE SECURITY AND RESILIENCE,28/12/2011,Cabinet Office
National Citizen Service project grant,NEW COLLEGE NOTTINGHAM,http://www.cabinetoffice.gov.uk/sites/default/files/resources/CO-Complete-December-2011.csv,Cabinet Office,Resource Grants to Private Sector,3000021697,"127,836.00",OFFICE FOR CIVIL SOCIETY,28/12/2011,Cabinet Office
National Citizen Service project grant,LUTON CULTURE,http://www.cabinetoffice.gov.uk/sites/default/files/resources/CO-Complete-December-2011.csv,Cabinet Office,Resource Grants to Private Sector,3000021696,"42,058.00",OFFICE FOR CIVIL SOCIETY,28/12/2011,Cabinet Office
National Citizen Service project grant,CATCH22 CHARITY LTD,http://www.cabinetoffice.gov.uk/sites/default/files/resources/CO-Complete-December-2011.csv,Cabinet Office,Resource Grants to Private Sector,3000021687,"39,618.00",OFFICE FOR CIVIL SOCIETY,28/12/2011,Cabinet Office
National Citizen Service project grant,GROUNDWORK UK,http://www.cabinetoffice.gov.uk/sites/default/files/resources/CO-Complete-December-2011.csv,Cabinet Office,Resource Grants to Private Sector,3000021693,"28,954.00",OFFICE FOR CIVIL SOCIETY,28/12/2011,Cabinet Office
"Support for Public Service Network including development of technical standards, project management for the delivery of key services, stakeholder engagement and commercial advice.",CAPITA RESOURCING LTD,http://www.cabinetoffice.gov.uk/sites/default/files/resources/CO-Complete-December-2011.csv,Cabinet Office,Agency and Temporary Staff,3000021709,"55,551.51",GOVERNMENT CIO,29/12/2011,Cabinet Office
Central Chancery charges for administration of Honours,TREASURER TO THE QUEEN,http://www.cabinetoffice.gov.uk/sites/default/files/resources/CO-Complete-December-2011.csv,Cabinet Office,Resource Grants to NDPB's,3000021715,"68,230.00",HONOURS AND APPOINTMENTS,29/12/2011,Cabinet Office
Meridio Ltd - Autonomy End User License Agreement,MERIDIO LTD,http://www.cabinetoffice.gov.uk/sites/default/files/resources/CO-Complete-December-2011.csv,Cabinet Office,IT Costs,3000021713,"110,287.20",IT AND TELECOMS BRANCH,29/12/2011,Cabinet Office
Treasury Solicitor Capitation costs.,TREASURY SOLICITOR TSOL,http://www.cabinetoffice.gov.uk/sites/default/files/resources/CO-Complete-November-2011.csv,Cabinet Office,Supplies and Services,3000020303,"89,653.67",CENTRAL BUDGETS,01/2011/2011,Cabinet Office
Media Monitoring Unit 2011/2012 Subscription,COI CENTRAL OFFICE OF INFORMATION,http://www.cabinetoffice.gov.uk/sites/default/files/resources/CO-Complete-November-2011.csv,Cabinet Office,Supplies and Services,3000020269,"80,000.00",POLICY COMMUNICATIONS,01/2011/2011,Cabinet Office
Rent for accommodation,Cabinet Office Votes,http://www.cabinetoffice.gov.uk/sites/default/files/resources/CO-Complete-November-2011.csv,Government Procurement Service,MOTO Charges RC,PINDOH 33589,"110,363.22",Estates Management,01/2011/2011,Cabinet Office
Central Chancery charges for administration of Honours,TREASURER TO THE QUEEN,http://www.cabinetoffice.gov.uk/sites/default/files/resources/CO-Complete-November-2011.csv,Cabinet Office,Resource Grants to NDPB's,3000020334,"68,230.00",HONOURS AND APPOINTMENTS,02/2011/2011,Cabinet Office
Government managed telecoms contract,Global Crossing,http://www.cabinetoffice.gov.uk/sites/default/files/resources/CO-Complete-November-2011.csv,Government Procurement Service,Conferencing Audio,PINMTS 21020,"55,290.59",Network Services,02/2011/2011,Cabinet Office
Strategic partners transition grant ,LOCALITY,http://www.cabinetoffice.gov.uk/sites/default/files/resources/CO-Complete-November-2011.csv,Cabinet Office,Resource Grants to Private Sector,3000020357,"165,333.33",OFFICE FOR CIVIL SOCIETY,03/2011/2011,Cabinet Office
Get Safe Online Campaign,ENDURANCE LTD,http://www.cabinetoffice.gov.uk/sites/default/files/resources/CO-Complete-November-2011.csv,Cabinet Office,Supplies and Services,1000450,"100,000.00",INTELLIGENCE SECURITY AND RESILIENCE,03/2011/2011,Cabinet Office
October payment for hosting and maintenance of the Directgov mobile service,CIMEX MEDIA LTD,http://www.cabinetoffice.gov.uk/sites/default/files/resources/CO-Complete-November-2011.csv,Cabinet Office,IT Costs,3000020346,"37,343.86",GOVERNMENT DIGITAL SERVICE,03/2011/2011,Cabinet Office
